x,y,Temp(c),R,G,B
4,25,29.164651107645454,0,1,2
4,26,28.937271823201172,1,1,2
4,27,29.482213099179717,3,0,4
4,28,29.501626665613344,0,3,0
4,29,28.232727524631628,0,1,2
4,30,28.565980875464163,1,1,1
4,31,28.85269944076782,1,1,0
4,32,29.29437627706119,1,1,0
4,33,28.533352795578935,2,1,1
4,34,28.787600414935696,2,0,1
4,35,30.063175510376993,0,1,1
4,36,29.95366623385212,1,0,1
4,37,29.216559097261552,0,1,2
4,38,29.88919956569157,1,0,2
4,39,30.307579569945744,1,1,1
4,40,29.895647883103038,1,1,1
4,41,29.663276795546096,1,0,2
4,42,30.51298671616553,2,0,1
4,43,29.326784255855046,1,0,0
4,44,28.42234619040022,1,0,0
4,45,29.488684658806164,1,0,2
4,46,29.300858617977838,0,0,2
4,47,29.676198825651966,3,0,4
4,48,29.727872189220534,4,0,1
4,49,29.501626665613344,1,1,1
4,50,29.37861766080789,1,2,1
4,51,29.462796194664406,0,1,2
4,52,29.164651107645454,0,1,1
4,53,29.934330083514,1,0,1
4,54,30.909912302153202,1,1,2
4,55,30.101800616606965,1,1,3
4,56,29.824696195265687,2,1,2
4,57,30.589918939311644,1,1,1
4,58,30.730826606842868,1,1,2
4,59,30.75642748757997,2,1,2
4,60,29.95366623385212,1,1,3
4,61,29.831148185649738,1,1,1
4,62,30.127543386253365,4,0,2
4,63,30.127543386253365,2,0,2
4,64,29.902095833553176,2,1,3
4,65,31.031275024761385,1,2,2
